"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",100.4926,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",100.4808,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",100.3847,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.2236,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.1285,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.1507,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",100.269,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",100.3676,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",100.4697,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",100.5512,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",100.4387,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.0798,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.56806,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.32562,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.38145,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.61392,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",99.78302,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",99.82648,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",99.7787,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",99.72737,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",99.685,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.64027,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.60039,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.54778,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.47992,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.46195,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.43027,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.3867,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.34203,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.27154,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.15968,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",99.07051,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.99534,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.94185,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",99.0093,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.26583,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",99.681,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",99.95734,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",99.99612,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",99.88527,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",99.77251,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",99.71194,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",99.68866,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",99.67942,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",99.67582,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",99.6936,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",99.77621,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",99.97704,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",100.2768,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",100.4709,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",100.4861,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",100.3625,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.2389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.1234,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.0177,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",99.94376,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",99.87371,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",99.80379,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",99.82431,
